Frame no.	Bubble_1	Bubble_2	Bubble_3	Bubble_4	Bubble_5	Bubble_6	Bubble_7	Bubble_8	Bubble_9	Bubble_10
Frame 118	(94, 419)	(251, 180)	(296, 412)	(299, 288)	(469, 208)	(555, 303)	(933, 561)	(1100, 551)	(1172, 576)	
Frame 119	(99, 403)	(138, 443)	(296, 304)	(302, 433)	(496, 235)	(527, 283)	(858, 604)	(1050, 576)	(1134, 607)	
Frame 120	(117, 394)	(144, 469)	(269, 330)	(306, 452)	(505, 239)	(815, 573)	(978, 562)	(1072, 618)		
Frame 121	(126, 388)	(158, 508)	(215, 362)	(310, 470)	(467, 244)	(515, 256)	(826, 519)	(1033, 629)		
Frame 122	(162, 537)	(213, 538)	(221, 390)	(321, 494)	(438, 225)	(503, 279)	(850, 467)	(950, 626)		
Frame 123	(228, 418)	(248, 546)	(329, 498)	(413, 213)	(502, 295)	(867, 414)	(901, 617)			
Frame 124	(197, 348)	(239, 444)	(288, 560)	(317, 496)	(391, 191)	(502, 311)	(856, 604)	(880, 378)	(1037, 446)	
Frame 125	(222, 352)	(247, 434)	(313, 413)	(333, 492)	(335, 552)	(370, 501)	(372, 179)	(499, 326)	(828, 580)	(916, 339)
Frame 126	(227, 346)	(354, 441)	(358, 162)	(381, 545)	(497, 339)	(788, 570)	(949, 300)			
Frame 127	(239, 342)	(298, 500)	(346, 149)	(400, 426)	(421, 534)	(486, 352)	(747, 576)	(975, 267)	(1136, 429)	
Frame 128	(258, 333)	(314, 512)	(332, 135)	(436, 418)	(458, 532)	(469, 358)	(719, 591)	(997, 235)		
Frame 129	(275, 326)	(322, 120)	(346, 512)	(469, 360)	(470, 402)	(491, 532)	(703, 610)	(1025, 206)	(1161, 474)	
Frame 130	(285, 321)	(327, 121)	(366, 511)	(491, 392)	(522, 538)	(697, 627)	(1056, 179)	(1173, 485)		
Frame 131	(294, 318)	(333, 129)	(345, 579)	(388, 502)	(521, 389)	(547, 550)	(689, 643)	(1091, 160)	(1177, 502)	
Frame 132	(306, 314)	(328, 117)	(351, 576)	(414, 494)	(518, 376)	(546, 400)	(560, 564)	(674, 651)	(1121, 145)	(1178, 518)
Frame 133	(314, 312)	(335, 109)	(353, 576)	(434, 493)	(538, 383)	(563, 414)	(565, 577)	(610, 657)	(1157, 142)	(1180, 533)
Frame 134	(321, 308)	(342, 99)	(355, 581)	(450, 491)	(553, 375)	(573, 590)	(576, 426)	(600, 662)	(1178, 145)	(1182, 546)
Frame 135	(330, 304)	(349, 94)	(359, 586)	(473, 490)	(564, 377)	(576, 601)	(586, 437)	(589, 667)	(1187, 559)	(1194, 149)
Frame 136	(337, 302)	(354, 87)	(362, 590)	(487, 488)	(568, 369)	(571, 671)	(579, 610)	(597, 447)	(1198, 566)	(1200, 158)
Frame 137	(341, 298)	(360, 80)	(363, 595)	(501, 488)	(555, 674)	(573, 369)	(585, 618)	(603, 456)	(1191, 169)	(1214, 565)
Frame 138	(346, 296)	(363, 78)	(364, 598)	(514, 485)	(541, 675)	(574, 370)	(600, 623)	(1188, 183)	(1228, 565)	
Frame 139	(349, 294)	(365, 601)	(367, 72)	(522, 483)	(529, 675)	(580, 369)	(609, 628)	(1185, 192)	(1240, 564)	
Frame 140	(353, 293)	(366, 602)	(370, 70)	(519, 674)	(526, 481)	(588, 375)	(616, 630)	(1179, 200)	(1247, 568)	
Frame 141	(206, 546)	(356, 291)	(367, 604)	(373, 65)	(510, 674)	(530, 477)	(596, 373)	(615, 635)	(667, 482)	(1176, 206)
Frame 142	(360, 290)	(368, 606)	(377, 64)	(504, 672)	(537, 478)	(598, 367)	(617, 637)	(666, 486)	(1173, 214)	(1247, 578)
